name,year,number,price,own,last_name
Warren Spahn,1952,33,112.5,0,Spahn
Bob Feller,1952,88,89,0,Feller
Willie Mays,1952,261,2000,0,Mays
Mickey Mantle,1952,311,4000,0,Mantle
Jackie Robinson,1952,312,2000,0,Robinson
Jackie Robinson,1953,1,456,0,Robinson
Bob Feller,1953,54,60,0,Feller
Mickey Mantle,1953,82,2000,0,Mantle
Warren Spahn,1953,147,100,0,Spahn
Willie Mays,1953,244,1000,0,Mays
Ted Williams,1954,1,220.5,0,Williams
Jackie Robinson,1954,10,246,0,Robinson
Warren Spahn,1954,20,60,0,Spahn
Willie Mays,1954,90,294.99,0,Mays
Ernie Banks,1954,94,886,0,Banks
Hank Aaron,1954,128,526,0,Aaron
Al Kaline,1954,201,467,0,Kaline
Ted Williams,1955,2,212,0,Williams
Al Kaline,1955,4,89,1,Kaline
Ernie Banks,1955,28,89.99,0,Banks
Warren Spahn,1955,31,41,1,Spahn
Hank Aaron,1955,47,229.5,0,Aaron
Jackie Robinson,1955,50,250,0,Robinson
Sandy Koufax,1955,123,480,0,Koufax
Roberto Clemente,1955,164,1000,0,Clemente
Willie Mays,1955,194,318.5,0,Mays
Ted Williams,1956,5,400,0,Williams
Warren Spahn,1956,10,73,1,Spahn
Ernie Banks,1956,15,64.84,0,Banks
Al Kaline,1956,20,46.13,0,Kaline
Jackie Robinson,1956,30,150,0,Robinson
Hank Aaron,1956,31,102.5,0,Aaron
Roberto Clemente,1956,33,314,0,Clemente
Sandy Koufax,1956,79,227.5,0,Koufax
Bob Feller,1956,200,67,0,Feller
Willie Mays,1956,130b,100,0,Mays
Mickey Mantle,1956,135b,620,0,Mantle
Ted Williams,1957,1,100,0,Williams
Willie Mays,1957,10,177.5,0,Mays
Hank Aaron,1957,20,150,1,Aaron
Frank Robinson,1957,35,161.5,0,Robinson
Ernie Banks,1957,55,47,1,Banks
Roberto Clemente,1957,76,144.5,0,Clemente
Warren Spahn,1957,90,15.5,0,Spahn
Mickey Mantle,1957,95,836,0,Mantle
Al Kaline,1957,125,54,0,Kaline
Sandy Koufax,1957,302,85,0,Koufax
Brooks Robinson,1957,328,130,0,Robinson
Ted Williams,1958,1,177.04,1,Williams
Willie Mays,1958,5,93.21,1,Mays
Hank Aaron,1958,30,137.5,1,Aaron
Roberto Clemente,1958,52,119.95,0,Clemente
Al Kaline,1958,70,28.6,1,Kaline
Mickey Mantle,1958,150,315,0,Mantle
Sandy Koufax,1958,187,35,1,Koufax
Warren Spahn,1958,270,18,0,Spahn
Frank Robinson,1958,285,25,0,Robinson
Brooks Robinson,1958,307,28,1,Robinson
Ernie Banks,1958,310,61,0,Banks
Mickey Mantle,1959,10,334.99,0,Mantle
Warren Spahn,1959,40,24.5,0,Spahn
Willie Mays,1959,50,120,0,Mays
Stan Musial,1959,150,32,1,Musial
Sandy Koufax,1959,163,42.12,0,Koufax
Ernie Banks,1959,350,25,1,Banks
Al Kaline,1959,360,32,1,Kaline
Hank Aaron,1959,380,147.5,0,Aaron
Frank Robinson,1959,435,21.5,1,Robinson
Brooks Robinson,1959,439,17.5,0,Robinson
Roberto Clemente,1959,478,126,0,Clemente
Bob Gibson,1959,514,147.75,0,Gibson
Ernie Banks,1960,10,30,1,Banks
Brooks Robinson,1960,28,24.5,1,Robinson
Al Kaline,1960,50,20,1,Kaline
Bob Gibson,1960,73,24.5,1,Gibson
Carl Yastrzemski,1960,148,75,1,Yastrzemski
Willie Mays,1960,200,90.96,0,Mays
Stan Musial,1960,250,40,1,Musial
Hank Aaron,1960,300,103,0,Aaron
Willie McCovey,1960,316,73.43,1,McCovey
Roberto Clemente,1960,326,147.5,1,Clemente
Sandy Koufax,1960,343,60,0,Koufax
Mickey Mantle,1960,350,350,0,Mantle
Warren Spahn,1960,445,10.68,0,Spahn
Frank Robinson,1960,490,26,1,Robinson
Brooks Robinson,1961,10,10.25,1,Robinson
Willie Mays,1961,150,62,0,Mays
Warren Spahn,1961,200,14.38,1,Spahn
Bob Gibson,1961,211,23.1,0,Gibson
Carl Yastrzemski,1961,287,21.5,0,Yastrzemski
Stan Musial,1961,290,37,0,Musial
Mickey Mantle,1961,300,251.25,0,Mantle
Sandy Koufax,1961,344,50,0,Koufax
Ernie Banks,1961,350,23.73,1,Banks
Frank Robinson,1961,360,16,1,Robinson
Roberto Clemente,1961,388,90,1,Clemente
Hank Aaron,1961,415,90,0,Aaron
Al Kaline,1961,429,25,1,Kaline
Willie McCovey,1961,517,17,1,McCovey
Sandy Koufax,1962,5,45,0,Koufax
Roberto Clemente,1962,10,132.5,1,Clemente
Ernie Banks,1962,25,29,1,Banks
Brooks Robinson,1962,45,28,1,Robinson
Stan Musial,1962,50,65,1,Musial
Warren Spahn,1962,100,15,1,Spahn
Al Kaline,1962,150,22,1,Kaline
Mickey Mantle,1962,200,215,0,Mantle
Willie Mays,1962,300,135,0,Mays
Hank Aaron,1962,320,87,1,Aaron
Frank Robinson,1962,350,25.7,0,Robinson
Lou Brock,1962,387,45,0,Brock
Carl Yastrzemski,1962,425,20,0,Yastrzemski
Bob Gibson,1962,530,35,0,Gibson
Willie McCovey,1962,544,62.75,0,McCovey
Al Kaline,1963,25,33.5,1,Kaline
Carl Yastrzemski,1963,115,23,1,Yastrzemski
Mickey Mantle,1963,200,335.15,0,Mantle
